index,Code,year,n_days,mean,std,min,max
41,1051A,2015,364,107.95,81.94,10.13,574.86
41,1051A,2016,366,89.75,70.02,10.39,443.43
41,1051A,2017,365,84.29,67.35,12.04,544.9
41,1051A,2018,360,65.48,47.61,11.75,358.67
41,1051A,2019,364,56.41,50.59,8.88,395.08
42,1052A,2015,364,115.26,98.68,9.29,668.45
42,1052A,2016,360,98.5,73.91,7.71,426.29
42,1052A,2017,361,85.68,70.34,10.92,615.09
42,1052A,2018,360,64.79,48.64,10.96,338.29
42,1052A,2019,364,54.94,48.23,7.0,365.0
43,1053A,2015,364,99.56,83.36,8.35,534.36
43,1053A,2016,366,92.94,70.9,7.08,423.58
43,1053A,2017,365,84.32,68.93,9.57,644.14
43,1053A,2018,360,70.05,50.89,13.9,343.83
43,1053A,2019,364,59.77,54.87,10.04,426.96
44,1054A,2015,364,106.46,88.55,11.57,535.33
44,1054A,2016,363,92.42,70.67,6.74,436.57
44,1054A,2017,352,88.65,66.44,11.58,505.0
44,1054A,2018,356,68.62,48.7,13.42,387.42
44,1054A,2019,364,61.89,55.45,10.8,416.54
45,1055A,2015,363,100.29,76.99,12.62,466.05
45,1055A,2016,366,88.13,68.56,9.16,431.65
45,1055A,2017,365,79.59,62.33,14.0,539.86
45,1055A,2018,360,63.35,46.02,13.63,352.25
45,1055A,2019,364,60.78,53.33,9.46,417.58
46,1057A,2015,364,36.89,22.83,5.21,125.27
46,1057A,2016,366,35.34,21.53,9.58,169.85
46,1057A,2017,365,32.74,24.02,10.17,227.54
46,1057A,2018,360,29.06,18.7,8.25,172.95
46,1057A,2019,363,22.26,12.26,6.96,93.83
47,1058A,2015,361,31.73,21.64,2.92,128.59
47,1058A,2016,365,27.78,21.54,3.0,151.35
47,1058A,2017,274,36.59,26.82,10.13,225.92
48,1059A,2015,364,29.67,24.19,2.89,151.8
48,1059A,2016,366,29.43,25.53,3.0,176.71
48,1059A,2017,365,26.81,27.7,2.86,323.29
48,1059A,2018,352,28.8,26.01,3.27,227.54
48,1059A,2019,362,24.39,18.11,2.25,130.54
49,1060A,2015,364,36.33,22.78,5.77,177.15
49,1060A,2016,366,34.69,22.22,5.08,147.17
49,1060A,2017,365,33.27,26.28,9.17,298.65
49,1060A,2018,360,33.45,22.27,7.71,176.42
49,1060A,2019,364,29.44,18.0,8.3,134.46
50,1061A,2015,361,34.35,23.21,3.89,121.26
50,1061A,2016,365,32.26,18.42,3.0,119.54
50,1061A,2017,364,39.22,27.3,12.58,274.54
50,1061A,2018,357,34.9,20.55,8.07,142.17
50,1061A,2019,364,27.31,15.2,8.6,104.81
